SKU,Name,Category,Allowed Provinces,Allowed Countries,Kit Only,Hidden,Archived,Inner Carton Qty,Master Case Qty
19921,VOLT 10FT Studio MFI - iPhone,Tech,,,FALSE,TRUE,FALSE,,
19922,VOLT 10FT Select MFI - iPhone,Tech,,,FALSE,TRUE,FALSE,,
20170,ZAKS 100g Landjaeger - Original,Meat,,CA,FALSE,FALSE,FALSE,5,130
20171,ZAKS 100g Landjaeger - Red Hot,Meat,,CA,FALSE,FALSE,FALSE,5,130
20172,ZAKS 100g Landjaeger - Garlic,Meat,,CA,FALSE,FALSE,FALSE,5,130
20175,ZAKS 90g Landjaeger - Original,Meat,,,FALSE,TRUE,FALSE,5,100
20176,ZAKS 90g Landjaeger - Teriyaki,Meat,,,FALSE,TRUE,FALSE,5,100
20177,ZAKS 90g Landjaeger - Hot,Meat,,,FALSE,TRUE,FALSE,5,100
20178,ZAKS 90g Landjaeger - Peppered,Meat,,,FALSE,TRUE,FALSE,5,100
20179,ZAKS 90g Landjaeger - Garlic,Meat,,,FALSE,TRUE,FALSE,5,100
20210,VOLT 4FT Braided - iPhone,Tech,,,FALSE,FALSE,FALSE,10,100
20211,VOLT 4FT Braided - Type C,Tech,,,FALSE,FALSE,FALSE,10,100
20212,VOLT 4FT Braided - Micro USB,Tech,,,FALSE,FALSE,FALSE,10,100
20213,VOLT 9FT XL - iPhone,Tech,,,FALSE,FALSE,FALSE,10,100
20214,VOLT 9FT XL - Type C,Tech,,,FALSE,FALSE,FALSE,10,100
20215,VOLT 9FT XL - Micro USB,Tech,,,FALSE,FALSE,FALSE,10,100
20216,VOLT 4FT Standard - iPhone,Tech,,,FALSE,FALSE,FALSE,10,100
20217,VOLT 4FT Standard - Type C,Tech,,,FALSE,FALSE,FALSE,10,100
20218,VOLT 4FT Standard - Micro USB,Tech,,,FALSE,FALSE,FALSE,10,100
20219,VOLT 4FT Standard - Auxiliary,Tech,,,FALSE,FALSE,FALSE,10,100
20220,VOLT Deluxe Earbuds,Tech,,,FALSE,FALSE,FALSE,10,100
20221,VOLT 4FT Elite Camo - Lightning to USB,Tech,,,FALSE,TRUE,FALSE,10,100
20222,VOLT 4FT Elite Camo - Type C to USB,Tech,,,FALSE,TRUE,FALSE,10,100
20223,VOLT 4FT Elite Camo - Type C Earbuds,Tech,,,FALSE,TRUE,FALSE,10,100
20310,VOLT Evolution Prime 4FT - iPhone,Tech,,,FALSE,FALSE,FALSE,12,120
20311,VOLT Evolution Prime 4FT - Type C,Tech,,,FALSE,FALSE,FALSE,12,120
20312,VOLT Evolution Prime 4FT FC - iPhone,Tech,,,FALSE,FALSE,FALSE,12,120
20313,VOLT Evolution Prime 4FT FC - Type C,Tech,,,FALSE,FALSE,FALSE,12,120
20315,VOLT 10FT Prime - iPhone,Tech,,,FALSE,TRUE,FALSE,10,100
20316,VOLT 10FT Prime - Type C,Tech,,,FALSE,TRUE,FALSE,10,100
20317,VOLT 10FT Delux - iPhone,Tech,,,FALSE,TRUE,FALSE,10,100
20318,VOLT 10FT Delux- Type C,Tech,,,FALSE,TRUE,FALSE,10,100
20319,VOLT Evolution Prime 10FT - Triple Tip,Tech,,,FALSE,TRUE,FALSE,10,100
20325,VOLT Evolution 9FT XL - iPhone,Tech,,,FALSE,TRUE,FALSE,10,120
20326,VOLT Evolution 9FT XL - Type C,Tech,,,FALSE,TRUE,FALSE,10,120
